Date,Day_of_the_week,APP,Minutes,Category
08/27/2023,Sunday,TIKTOK,160,Entertainment
08/27/2023,Sunday,SAFARI,55,Other
08/27/2023,Sunday,INSTAGRAM,47,Social Media
08/28/2023,Monday,INSTAGRAM,98,Social Media
08/28/2023,Monday,YOUTUBE,59,Entertainment
08/28/2023,Monday,MESSAGES,14,Other
08/28/2023,Monday,SHADOW FIGHT 2,9,Entertainment
08/29/2023,Tuesday,TIKTOK,261,Entertainment
08/29/2023,Tuesday,YOUTUBE,100,Entertainment
08/29/2023,Tuesday,MESSAGES,81,Other
08/30/2023,Wednesday,SAFARI,180,Other
08/30/2023,Wednesday,TIKTOK,86,Entertainment
08/30/2023,Wednesday,INSTAGRAM,54,Social Media
08/31/2023,Thursday,TIKTOK,201,Entertainment
08/25/2023,Friday,SPOTIFY,2,Entertainment
08/25/2023,Friday,MESSAGES,6,Other
08/25/2023,Friday,TIKTOK,226,Entertainment
08/25/2023,Friday,YOUTUBE,99,Entertainment
08/25/2023,Friday,BURRITO BISON,90,Entertainment
08/25/2023,Friday,SAFARI,54,Other
08/26/2023,Saturday,TIKTOK,200,Entertainment
08/26/2023,Saturday,YOUTUBE,180,Entertainment
08/26/2023,Saturday,INSTAGRAM,100,Social Media
08/27/2023,Sunday,BURRITO BISON,29,Entertainment
08/27,Sunday,YOUTUBE,28,Entertainment
08/27/2023,Sunday,MESSAGES,8,Entertainment
08/27/2023,Sunday,DISCORD,8,Social Media
08/28/2023,Monday,BURRITO BISON,10,Entertainment
08/28/2023,Monday,CANVAS,2,Education
08/28/2023,Monday,BEREAL,1,Social Media
08/28/2023,Monday,CALTRAIN,4,Travel
08/29/2023,Tuesday,SAFARI,40,Other
08/29/2023,Tuesday,SPOTIFY,40,Entertainment
08/29/2023,Tuesday,PHONE,10,Other
08/29/2023,Tuesday,DISCORD,1,Social Media
08/30/2023,Wednesday,YOUTUBE,36,Entertainment
08/30/2023,Wednesday,SPOTIFY,23,Entertainment
08/30/2023,Wednesday,PHOTOS,11,Other
08/30/2023,Wednesday,DISCORD,1,Social Media
08/31/2023,Thursday,INSTAGRAM,124,Social Media
08/31/2023,Thursday,YOUTUBE,31,Entertainment
08/31/2023,Thursday,MESSAGES,26,Other
08/31/2023,Thursday,SAFARI,10,Other
08/31/2023,Thursday,DISCORD,2,Social Media
08/25/2023,Friday,CANVAS,4,Education
08/25/2023,Friday,MESSAGES,41,Other
08/25/2023,Friday,SLIDES,1,Education
08/25/2023,Friday,CAMERA,1,Other
08/26/2023,Saturday,INSTAGRAM,100,Social Media
08/26/2023,Saturday,SAFARI,18,Other
08/26/2023,Saturday,CAMERA,7,Other
08/26/2023,Saturday,PHOTOS,4,Other
08/26/2023,Saturday,MESSAGES,3,Other
08/25/2023,Friday,TIKTOK,216,Entertainment
08/25/2023,Friday,YOUTUBE,99,Other
08/25/2023,Friday,BURRITO BISON,90,Entertainment
08/25/2023,Friday,SAFARI,54,Other
08/25/2023,Friday,INSTAGRAM,40,Social Media
08/25/2023,Friday,MESSAGES,6,Other
08/25/2023,Friday,SPOTIFY,2,Entertainment
08/25/2023,Friday,BEREAL,2,Social Media
