Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-09-22,376.579987,378.299988,373.440002,374.220001,368.420227,89472600,0
2022-09-23,370.579987,370.619995,363.290009,367.950012,362.247437,122346900,1
2022-09-26,366.410004,370.209991,363.029999,364.309998,358.663818,92581200,2
2022-09-27,368.019989,370.399994,360.869995,363.380005,357.74826,108294100,3
2022-09-28,364.380005,372.299988,362.600006,370.529999,364.787445,110802200,4
2022-09-29,366.809998,367.109985,359.700012,362.790009,357.167419,112952300,5
2022-09-30,361.799988,365.910004,357.040009,357.179993,351.644348,153711200,6
2022-10-03,361.079987,368.549988,359.209991,366.609985,360.928162,89756500,7
2022-10-04,372.399994,378,366.570007,377.970001,372.112122,103602800,8
2022-10-05,373.390015,379.459991,370.950012,377.089996,371.245758,88065700,9
2022-10-06,375.619995,378.720001,372.679993,373.200012,367.416077,82333500,10
2022-10-07,368.970001,373.290009,360.940002,362.790009,357.167419,107789500,11
2022-10-10,363.959991,364.209991,357.670013,360.019989,354.440308,76042800,12
2022-10-11,358.23999,363.029999,355.709991,357.73999,352.195648,92482800,13
2022-10-12,358.170013,359.820007,356.299988,356.559998,351.033966,76991800,14
2022-10-13,349.209991,367.51001,348.109985,365.970001,360.298126,147254500,15
2022-10-14,368.549988,370.26001,356.959991,357.630005,352.087341,123737000,16
2022-10-17,364.01001,367.980011,357.279999,366.820007,361.134949,93168200,17
2022-10-18,375.130005,375.450012,367.519989,371.130005,365.378113,97162900,18
2022-10-19,368.98999,371.850006,365.549988,368.5,362.78891,79746900,19
2022-10-20,368.029999,372.670013,364.609985,365.410004,359.746796,88283100,20
2022-10-21,365.119995,374.799988,363.540009,374.290009,368.489166,131038400,21
2022-10-24,375.890015,380.059998,373.109985,378.869995,372.998169,85436900,22
2022-10-25,378.790009,385.25,378.670013,384.920013,378.954407,78846300,23
2022-10-26,381.619995,387.579987,381.350006,382.019989,376.099335,104087300,24
2022-10-27,383.070007,385,379.329987,379.980011,374.091003,81971800,25
2022-10-28,379.869995,389.519989,379.679993,389.019989,382.990845,100302000,26
2022-10-31,386.440002,388.399994,385.26001,386.209991,380.224396,96631300,27
2022-11-01,390.140015,390.390015,383.290009,384.519989,378.560638,85407600,28
2022-11-02,383.899994,388.630005,374.76001,374.869995,369.060181,126990400,29
2022-11-03,371.470001,374.200012,368.790009,371.01001,365.26001,87100100,30
2022-11-04,377,378.869995,370,376.350006,370.517242,103505200,31
2022-11-07,377.709991,380.570007,375.529999,379.950012,374.061462,68286900,32
2022-11-08,381.109985,385.119995,377.720001,382,376.079681,84641100,33
2022-11-09,379.929993,381.140015,373.609985,374.130005,368.331635,78495500,34
2022-11-10,388.049988,395.040009,385.640015,394.690002,388.572998,141455800,35
2022-11-11,395.589996,399.350006,393.609985,398.51001,392.333801,93839900,36
2022-11-14,396.660004,400.179993,394.829987,395.119995,388.996307,71903500,37
2022-11-15,401.149994,402.309998,394.48999,398.48999,392.314117,93194500,38
2022-11-16,396.779999,397.779999,394.790009,395.450012,389.321198,68508500,39
2022-11-17,390.459991,394.950012,390.140015,394.23999,388.129944,74496300,40
2022-11-18,397.73999,397.809998,393.040009,396.029999,389.892242,92922500,41
2022-11-21,394.640015,395.820007,392.660004,394.589996,388.474518,51243200,42
2022-11-22,396.630005,400.070007,395.149994,399.899994,393.70224,60429000,43
2022-11-23,399.549988,402.929993,399.309998,402.420013,396.183197,68261600,44
2022-11-25,401.829987,402.910004,401.540009,402.329987,396.094574,30545400,45
2022-11-28,399.089996,400.809998,395.109985,395.910004,389.774078,67881600,46
2022-11-29,396.049988,397.299988,393.299988,395.230011,389.104645,52310000,47
2022-11-30,395.48999,407.679993,393.480011,407.679993,401.361694,144566700,48
2022-12-01,408.769989,410,404.75,407.380005,401.066315,76398200,49
2022-12-02,402.25,407.859985,402.140015,406.910004,400.603638,85342700,50
2022-12-05,403.950012,404.929993,398.170013,399.589996,393.397034,77289800,51
2022-12-06,399.420013,399.98999,391.640015,393.829987,387.726288,77972200,52
2022-12-07,392.940002,395.640015,391.970001,393.160004,387.066742,65927900,53
2022-12-08,395.140015,397.359985,393.269989,396.23999,390.098969,60737900,54
2022-12-09,394.940002,397.619995,393.149994,393.279999,387.184845,81447700,55
2022-12-12,394.109985,398.950012,393.410004,398.950012,392.766968,75405800,56
2022-12-13,410.220001,410.48999,399.070007,401.970001,395.740204,123782500,57
2022-12-14,401.609985,405.5,396.309998,399.399994,393.209991,108111300,58
2022-12-15,394.299988,395.25,387.890015,389.630005,383.5914,117705900,59
2022-12-16,385.179993,386.579987,381.040009,383.269989,379.062683,119858000,60
2022-12-19,383.470001,383.820007,378.279999,380.019989,375.848358,79878100,61
2022-12-20,379.230011,382.230011,377.850006,380.540009,376.362671,74427200,62
2022-12-21,383.25,387.410004,382.690002,386.230011,381.990204,78167400,63
2022-12-22,383.049988,386.209991,374.769989,380.720001,376.54068,100120900,64
2022-12-23,379.649994,383.059998,378.029999,382.910004,378.706665,59857300,65
2022-12-27,382.790009,383.149994,379.649994,381.399994,377.213226,51638200,66
2022-12-28,381.329987,383.390015,376.420013,376.660004,372.525238,70911500,67
2022-12-29,379.630005,384.350006,379.079987,383.440002,379.230835,66970900,68
2022-12-30,380.640015,382.579987,378.429993,382.429993,378.231873,84022200,69
2023-01-03,384.369995,386.429993,377.829987,380.820007,376.639587,74850700,70
2023-01-04,383.179993,385.880005,380,383.76001,379.547333,85934100,71
2023-01-05,381.720001,381.839996,378.76001,379.380005,375.215393,76970500,72
2023-01-06,382.609985,389.25,379.410004,388.079987,383.819885,104189600,73
2023-01-09,390.369995,393.700012,387.670013,387.859985,383.602295,73978100,74
2023-01-10,387.25,390.649994,386.269989,390.579987,386.29245,65358100,75
2023-01-11,392.230011,395.600006,391.380005,395.519989,391.178223,68881100,76
2023-01-12,396.670013,398.48999,392.420013,396.959991,392.602386,90157700,77
2023-01-13,393.619995,399.100006,393.339996,398.5,394.125488,63903900,78
2023-01-17,398.480011,400.230011,397.059998,397.769989,393.403503,62677300,79
2023-01-18,399.01001,400.119995,391.279999,391.48999,387.192474,99632300,80
2023-01-19,389.359985,391.079987,387.26001,388.640015,384.373779,86958900,81
2023-01-20,390.100006,396.040009,388.380005,395.880005,391.534271,91806400,82
2023-01-23,396.720001,402.649994,395.720001,400.630005,396.232147,84178800,83
2023-01-24,398.880005,401.149994,397.640015,400.200012,395.806824,59524900,84
2023-01-25,395.950012,400.700012,393.559998,400.350006,395.9552,84800300,85
2023-01-26,403.130005,404.920013,400.029999,404.75,400.306915,72287400,86
2023-01-27,403.660004,408.160004,403.440002,405.679993,401.226685,68346200,87
2023-01-30,402.799988,405.130005,400.279999,400.589996,396.192535,74202000,88
2023-01-31,401.130005,406.529999,400.769989,406.480011,402.017914,86811800,89
2023-02-01,405.209991,413.670013,402.350006,410.799988,406.290466,101459200,90
2023-02-02,414.859985,418.309998,412.880005,416.779999,412.204834,101654500,91
2023-02-03,411.589996,416.970001,411.089996,412.350006,407.823486,94736800,92
2023-02-06,409.790009,411.290009,408.100006,409.829987,405.331116,60295300,93
2023-02-07,408.869995,416.48999,407.570007,415.190002,410.632294,90990700,94
2023-02-08,413.130005,414.529999,409.929993,410.649994,406.14212,76227500,95
2023-02-09,414.410004,414.570007,405.809998,407.089996,402.621185,78694900,96
2023-02-10,405.859985,408.440002,405.01001,408.040009,403.560791,70769700,97
2023-02-13,408.720001,412.970001,408.23999,412.829987,408.298187,64913500,98
2023-02-14,411.23999,415.049988,408.51001,412.640015,408.110321,88389300,99
2023-02-15,410.350006,414.059998,409.470001,413.980011,409.435608,61555700,100
2023-02-16,408.790009,412.910004,408.140015,408.279999,403.798126,76431500,101
2023-02-17,406.059998,407.51001,404.049988,407.26001,402.789368,89257800,102
2023-02-21,403.059998,404.160004,398.820007,399.089996,394.709045,82655900,103
2023-02-22,399.519989,401.130005,397.019989,398.540009,394.16507,83742300,104
2023-02-23,401.559998,402.200012,396.25,400.660004,396.26178,96242400,105
2023-02-24,395.420013,397.25,393.640015,396.380005,392.028778,108194400,106
2023-02-27,399.869995,401.290009,396.75,397.730011,393.363953,80444700,107
2023-02-28,397.230011,399.279999,396.149994,396.26001,391.910065,96438600,108
2023-03-01,395.410004,396.690002,393.380005,394.73999,390.406769,99706800,109
2023-03-02,392.679993,398.690002,392.329987,397.809998,393.443054,85127800,110
2023-03-03,399.709991,404.450012,399.029999,404.190002,399.753021,90120000,111
2023-03-06,405.049988,407.450012,404.01001,404.470001,400.029999,72795900,112
2023-03-07,404.420013,404.670013,397.630005,398.269989,393.898041,108310600,113
2023-03-08,398.390015,399.709991,396.589996,398.920013,394.540894,74746600,114
2023-03-09,399.73999,401.480011,390.529999,391.559998,387.261688,111945300,115
2023-03-10,390.98999,393.160004,384.320007,385.910004,381.673737,189253000,116
2023-03-13,381.809998,390.390015,380.649994,385.359985,381.12973,157790000,117
2023-03-14,390.5,393.450012,387.049988,391.730011,387.42984,149752400,118
2023-03-15,385.890015,389.48999,383.709991,389.279999,385.006714,172996900,119
2023-03-16,386.820007,396.470001,386.290009,396.109985,391.761749,143254200,120
2023-03-17,393.220001,394.399994,388.549988,389.98999,387.180969,140553400,121
2023-03-20,390.799988,394.170013,390.070007,393.73999,390.903961,93055800,122
2023-03-21,397.23999,399.410004,395.579987,398.910004,396.036713,91524200,123
2023-03-22,398.730011,402.48999,392.070007,392.109985,389.285706,111746600,124
2023-03-23,395.089996,399.290009,390.350006,393.170013,390.338074,119351300,125
2023-03-24,391.839996,395.839996,389.399994,395.75,392.899506,107682400,126
2023-03-27,398.119995,398.920013,395.559998,396.48999,393.634155,74010400,127
2023-03-28,395.769989,396.48999,393.690002,395.600006,392.75058,62871700,128
2023-03-29,399.929993,401.600006,398.679993,401.350006,398.459137,77497900,129
2023-03-30,404.089996,404.350006,401.76001,403.700012,400.792236,69840000,130
2023-03-31,404.660004,409.700012,404.549988,409.390015,406.441254,112062600,131
2023-04-03,408.850006,411.369995,408.440002,410.950012,407.990021,67391100,132
2023-04-04,411.619995,411.920013,407.23999,408.670013,405.726471,66601500,133
2023-04-05,407.910004,408.700012,405.880005,407.600006,404.664154,65200200,134
2023-04-06,406.769989,409.480011,405.679993,409.190002,406.242706,63743300,135
2023-04-10,406.609985,409.690002,405.970001,409.609985,406.659668,63681000,136
2023-04-11,410.26001,411.179993,408.920013,409.720001,406.76886,59297900,137
2023-04-12,411.869995,412.170013,407.440002,408.049988,405.110901,86420400,138
2023-04-13,409.179993,413.839996,407.98999,413.470001,410.491882,85814800,139
2023-04-14,412.809998,415.089996,410.059998,412.459991,409.489136,78161500,140
2023-04-17,412.369995,413.959991,411.089996,413.940002,410.958496,66436400,141
2023-04-18,415.579987,415.720001,412.779999,414.209991,411.226532,63560000,142
2023-04-19,412.220001,415.079987,412.160004,414.140015,411.157043,55227300,143
2023-04-20,411.209991,413.700012,410.269989,411.880005,408.91333,75840400,144
2023-04-21,412.190002,412.679993,410.170013,412.200012,409.231018,73457400,145
2023-04-24,411.98999,413.070007,410.600006,412.630005,409.657928,64332100,146
2023-04-25,410.579987,411.160004,406.019989,406.079987,403.15509,97766700,147
2023-04-26,406.720001,407.839996,403.779999,404.359985,401.447449,80447000,148
2023-04-27,407,412.690002,406.73999,412.410004,409.439484,92968400,149
2023-04-28,411.48999,415.940002,411.429993,415.929993,412.934113,89335600,150
2023-05-01,415.470001,417.619995,415.269989,415.51001,412.517181,62122300,151
2023-05-02,414.769989,414.820007,407.820007,410.839996,407.880829,103998500,152
2023-05-03,411.359985,413.869995,407.769989,408.019989,405.081116,91531800,153
2023-05-04,406.929993,407.269989,403.73999,405.130005,402.211945,94901900,154
2023-05-05,408.910004,413.720001,408.640015,412.630005,409.657928,87844000,155
2023-05-08,412.970001,413.23999,411.279999,412.73999,409.76709,50046800,156
2023-05-09,411.130005,412.089996,410.690002,410.929993,407.970154,49220100,157
2023-05-10,413.880005,414.540009,408.869995,412.850006,409.876343,96142900,158
2023-05-11,411.950012,412.429993,409.970001,412.130005,409.161499,70157100,159
2023-05-12,413.420013,413.640015,409.070007,411.589996,408.625397,70439400,160
2023-05-15,412.220001,413.429993,410.230011,413.01001,410.035156,54289400,161
2023-05-16,411.859985,412.820007,410.23999,410.25,407.295044,57705500,162
2023-05-17,412.350006,415.859985,410.640015,415.230011,412.239197,87287000,163
2023-05-18,414.899994,419.670013,414.670013,419.230011,416.210388,97177200,164
2023-05-19,420.170013,420.720001,417.350006,418.619995,415.604767,103679700,165
2023-05-22,418.640015,420.390015,417.350006,418.790009,415.77356,60745400,166
2023-05-23,417.079987,418.720001,413.679993,414.089996,411.107422,86383500,167
2023-05-24,412.420013,412.820007,409.880005,411.089996,408.128998,89213700,168
2023-05-25,414.73999,416.160004,412.410004,414.649994,411.663361,90961600,169
2023-05-26,415.329987,420.769989,415.25,420.019989,416.994659,93830000,170
2023-05-30,422.029999,422.579987,418.73999,420.179993,417.153534,72216000,171
2023-05-31,418.279999,419.220001,416.220001,417.850006,414.840332,110811800,172
2023-06-01,418.089996,422.920013,416.790009,421.820007,418.781738,88865000,173
2023-06-02,424.5,428.73999,423.950012,427.920013,424.837799,91366700,174
2023-06-05,428.279999,429.619995,426.369995,427.100006,424.023712,65460200,175
2023-06-06,426.670013,428.579987,425.98999,428.029999,424.946991,64022200,176
2023-06-07,428.440002,429.619995,426.109985,426.549988,423.477631,85373300,177
2023-06-08,426.619995,429.600006,425.820007,429.130005,426.039093,61952800,178
2023-06-09,429.959991,431.98999,428.869995,429.899994,426.803497,85742800,179
2023-06-12,430.920013,433.880005,430.170013,433.799988,430.675415,76104300,180
2023-06-13,435.320007,437.329987,434.630005,436.660004,433.514832,95899700,181
2023-06-14,437.01001,439.059998,433.589996,437.179993,434.031067,100612100,182
2023-06-15,436.329987,443.899994,436.230011,442.600006,439.412048,110303100,183
2023-06-16,443.019989,443.609985,438.970001,439.459991,437.915314,114121300,184
2023-06-20,437.450012,438.369995,435.029999,437.179993,435.643341,76160400,185
2023-06-21,436.160004,436.98999,434.329987,434.940002,433.411224,76982300,186
2023-06-22,433.950012,436.619995,433.600006,436.51001,434.975708,70637200,187
2023-06-23,432.929993,435.059998,432.470001,433.209991,431.687286,92074500,188
2023-06-26,432.619995,434.609985,431.190002,431.440002,429.923523,72823600,189
2023-06-27,432.350006,436.809998,431.880005,436.170013,434.636902,72813700,190
2023-06-28,435.049988,437.440002,434.410004,436.390015,434.85614,75636000,191
2023-06-29,435.959991,438.279999,435.540009,438.109985,436.570038,67882300,192
2023-06-30,441.440002,444.299988,441.109985,443.279999,441.721893,104921500,193
2023-07-03,442.920013,444.079987,442.630005,443.790009,442.230103,32793400,194
2023-07-05,441.910004,443.890015,441.899994,443.130005,441.572418,58418400,195
2023-07-06,439.420013,440.100006,437.059998,439.660004,438.114624,80658300,196
2023-07-07,438.630005,442.640015,438.299988,438.549988,437.008514,86076100,197
2023-07-10,438.179993,439.839996,437.589996,439.660004,438.114624,62443500,198
2023-07-11,440.450012,442.970001,439.440002,442.459991,440.904755,64463800,199
2023-07-12,446.390015,447.480011,444.910004,446.019989,444.45224,91924500,200
2023-07-13,447.899994,450.380005,447.450012,449.559998,447.979828,72425200,201
2023-07-14,450.480011,451.359985,448.48999,449.279999,447.700806,69761800,202
2023-07-17,449.130005,451.929993,449.079987,450.839996,449.25531,52680200,203
2023-07-18,450.5,454.859985,450.049988,454.190002,452.593536,80744400,204
2023-07-19,455.01001,456.429993,454.109985,455.200012,453.600006,65891700,205
2023-07-20,454.170013,455.100006,451.440002,452.179993,450.590607,70591600,206
2023-07-21,453.959991,454.170013,452.170013,452.179993,450.590607,71245400,207
2023-07-24,453.369995,455.040009,452.299988,454.200012,452.603516,54023400,208
2023-07-25,453.920013,456.73999,453.869995,455.440002,453.839142,55191200,209
2023-07-26,454.470001,456.98999,453.380005,455.51001,453.908905,71052900,210
2023-07-27,459.019989,459.440002,451.549988,452.48999,450.899506,92194400,211
2023-07-28,455.880005,457.779999,452.48999,456.920013,455.313965,80011800,212
2023-07-31,457.410004,458.160004,456.049988,457.790009,456.180908,62040400,213
2023-08-01,456.269989,457.25,455.48999,456.480011,454.875519,55291500,214
2023-08-02,453.25,453.519989,449.350006,450.130005,448.547821,93933400,215
2023-08-03,448.040009,450.790009,447.369995,448.839996,447.26236,64276100,216
2023-08-04,450.720001,452.899994,446.269989,446.809998,445.239471,100052300,217
2023-08-07,448.709991,450.869995,447.98999,450.709991,449.125763,58357500,218
2023-08-08,448.079987,450.700012,445.269989,448.75,447.172668,71361300,219
2023-08-09,449.029999,449.200012,444.959991,445.75,444.183228,78789600,220
2023-08-10,448.190002,451.700012,444.700012,445.910004,444.342651,93005500,221
2023-08-11,443.970001,446.700012,443.350006,445.649994,444.083557,68664600,222
2023-08-14,444.700012,448.109985,444.380005,448.109985,446.534912,47867400,223
2023-08-15,446.269989,446.640015,442.299988,442.890015,441.333282,75707500,224
2023-08-16,442.459991,444.179993,439.529999,439.640015,438.094696,80107200,225
2023-08-17,441.160004,441.429993,435.75,436.290009,434.75647,95711300,226
2023-08-18,433.369995,437.570007,433.01001,436.5,434.965729,98758400,227
2023-08-21,437.549988,440.109985,435.320007,439.339996,437.795746,68719000,228
2023-08-22,441.179993,441.179993,437.570007,438.149994,436.609924,65062900,229
2023-08-23,439.25,443.670013,439.100006,443.029999,441.472778,68441000,230
2023-08-24,444.690002,445.220001,436.859985,436.890015,435.35437,88517300,231
2023-08-25,438.679993,441.299988,435,439.970001,438.423523,102325100,232
2023-08-28,442.23999,443.399994,439.970001,442.76001,441.203735,61595400,233
2023-08-29,442.649994,449.450012,442.459991,449.160004,447.581238,83081900,234
2023-08-30,449.51001,451.670013,448.779999,451.01001,449.424744,69053900,235
2023-08-31,451.649994,452.829987,450.160004,450.350006,448.767059,66084600,236
2023-09-01,453.170013,453.670013,449.679993,451.190002,449.604095,58875700,237
2023-09-05,450.730011,451.059998,449.170013,449.23999,447.66095,55166200,238
2023-09-06,448.399994,448.51001,443.809998,446.220001,444.65155,70758500,239
2023-09-07,443.109985,445.549988,442.75,444.850006,443.286377,70355400,240
2023-09-08,444.899994,447.109985,444.529999,445.519989,443.95401,61659700,241
2023-09-11,448.23999,448.769989,446.470001,448.450012,446.873749,60180100,242
2023-09-12,446.950012,448.529999,445.390015,445.98999,444.422363,67565400,243
2023-09-13,446.220001,447.709991,445.079987,446.51001,444.940552,60199300,244
2023-09-14,449.070007,451.079987,447.720001,450.359985,448.777008,83430800,245
2023-09-15,447.140015,447.480011,442.920013,443.369995,443.369995,111761400,246
2023-09-18,443.049988,444.970001,442.559998,443.630005,443.630005,55752200,247
2023-09-19,442.679993,443.290009,439.940002,442.709991,442.709991,66514600,248
